COD;MUNI;cv_bcg;prop_populacao_com_renda_menosqmeio_SM;prop_populacao_pobreza_extrema;Renda_media_domic_per_capita;Taxa_de_analfabetismo;Taxa_de_desemprego_16a_emais;PIB_per_capita;Saneamento_inadequado;Taxa_urbanizacao;Gini;CoberturaESF;CoberturaAB;Inc_tb22;mort_tb22;prop_cont22;populacao_residente
500315;CORONEL SAPUCAIA;106.08;59.45;14.1;193;17;5.31;10643.63;11.84;72.58;0.5595;67.86;67.86;58.25619888;0;87.5;15449
500320;CORUMBA;91.19;38.53;4.58;333;5.9;8.03;25923.22;9.77;90.12;0.5589;80.5;83.19;93.19333649;9.763111115;28.03738403;112669
500325;COSTA RICA;145.01;20.83;1.51;805;8.4;4.84;55995.73;7.43;85.54;0.4753;100;100;37.28560638;0;100;21456
500330;COXIM;54.97;29.41;2.15;441;10.9;5.79;20394.77;9.87;90.63;0.5216;92.57;100;56.63695526;0;100;33547
500345;DEODAPOLIS;114.84;25.85;1.77;483;12.2;6.39;15094.16;17.06;82.77;0.4585;100;100;15.33389568;0;0;13043
500348;DOIS IRMAOS DO BURITI;54.36;56.15;12.57;325;12.7;8.16;15656.62;17.7;45.4;0.5851;100;100;164.5449066;17.32051659;0;11547
500350;DOURADINA;97.1;37.08;10.6;512;10.5;4.57;14877.15;22.74;61.26;0.6174;100;100;33.19502258;0;0;6025
500370;DOURADOS;100.34;21.03;1.73;400;5.2;5.15;26908.71;4.87;92.33;0.5311;77.37;83.87;48.24773026;2.631694317;88.46787262;227990
500375;ELDORADO;177.84;37.01;5.94;316;12.9;9.98;21927.83;11.1;79.94;0.4989;83.79;83.79;24.10219383;0;0;12447
500380;FATIMA DO SUL;118.43;26.86;1.72;447;10.6;6.19;16044.42;10.13;89.14;0.5247;100;100;15.66416073;5.221386909;100;19152
500390;FIGUEIRAO;83.72;28.44;1.1;430;10.8;1.96;20554.88;40.12;52.25;0.4388;100;100;97.8473587;32.61578751;50;3066
500400;GLORIA DE DOURADOS;120;24.94;1.72;504;11;5.4;12662.14;21.03;77.26;0.4676;100;100;30.19931602;0;100;9934
500410;GUIA LOPES DA LAGUNA;145.69;43.61;6.24;547;13.3;7.44;14583.12;12.87;84.75;0.5826;100;100;41.00881577;0;100;9754
500430;IGUATEMI;126.89;38.88;4.31;398;13.2;8.05;21479.25;21.22;73.99;0.513;85.83;85.83;43.01603699;6.145148277;100;16273
500440;INOCENCIA;26.53;28.53;0.82;512;12.6;3;23294.32;33.9;63.52;0.4893;100;100;0;0;0;7566
500450;ITAPORA;85.28;46.54;9.5;264;11.4;7.26;21304.77;13.82;63.7;0.5471;97.23;97.23;27.47468376;0;100;25478
500460;ITAQUIRAI;116.8;46.18;5.57;303;15.1;4.14;19962.27;40.25;40.83;0.5253;65.27;79.46;18.51508904;0;100;21604
500470;IVINHEMA;84.43;23.81;1.97;532;8.2;4.35;25402.78;17.53;77.32;0.4834;100;100;12.88825893;0;100;23277
500480;JAPORA;27.33;72.45;30.88;195;23;5.71;10013;22.9;18.11;0.6701;100;100;53.35040665;10.67008114;100;9372
500490;JARAGUARI;28.81;38.11;4.07;447;10.1;3.65;19252.11;56.14;28.17;0.4876;0;41.74;54.48106766;0;100;7342
500500;JARDIM;129.57;31.6;3.87;386;8.4;6.23;15040.39;7.05;93.41;0.5593;66.1;87.14;45.49763107;3.791469097;100;26375
500510;JATEI;43.75;38.86;2.45;471;12.6;4.54;33629.72;40.69;46.65;0.6067;0;0;0;0;0;4015
